Sun Aug 26 2012 21:47:57 GMT-0700 (PDT): Attempting (1) to load: http://localhost:9876/capture
Sun Aug 26 2012 21:47:57 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: fail
Sun Aug 26 2012 21:47:58 GMT-0700 (PDT): Attempting (2) to load: http://localhost:9876/capture
Sun Aug 26 2012 21:49:26 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 21:49:26 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 21:49:26 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:19:54 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:19:54 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:41:52 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:41:52 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:47:52 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:47:52 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:48:27 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:48:27 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:48:43 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:48:43 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:50:01 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:50:02 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:51:30 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:51:31 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:53:12 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:53:12 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:54:00 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:54:01 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:54:42 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
Sun Aug 26 2012 22:54:42 GMT-0700 (PDT): Finished loading http://localhost:9876/capture with status: success
